Date,Pair,Side,Price,Executed,Fee,Total
2024-02-16 05:38:12,BTCUSDC,SELL,52190.00000000,0.00637000,0 BNB,332.45030000 USDC
2024-02-14 08:58:02,BTCUSDC,SELL,50350.60000000,0.00004000,0 BNB,2.01402400 USDC
2024-02-14 08:58:02,BTCUSDC,SELL,50359.90000000,0.00004000,0 BNB,2.01439600 USDC
2024-02-14 08:58:02,BTCUSDC,SELL,50350.60000000,0.00004000,0 BNB,2.01402400 USDC
2024-02-14 08:58:02,BTCUSDC,SELL,50350.60000000,0.00004000,0 BNB,2.01402400 USDC
2024-02-14 08:58:02,BTCUSDC,SELL,50338.60000000,0.00003000,0 BNB,1.51015800 USDC
2024-02-13 01:36:52,BTCUSDC,SELL,50338.60000000,0.00003000,0 BNB,1.51015800 USDC
2024-02-13 01:36:52,BTCUSDC,SELL,50327.50000000,0.00004000,0 BNB,2.01310000 USDC
2024-02-13 01:36:30,BTCUSDC,SELL,50279.50000000,0.00004000,0 BNB,2.01118000 USDC
2024-02-13 01:36:30,BTCUSDC,SELL,50279.40000000,0.00004000,0 BNB,2.01117600 USDC
2024-02-13 01:36:27,BTCUSDC,SELL,50250.30000000,0.00004000,0 BNB,2.01001200 USDC
2024-02-13 01:36:27,BTCUSDC,SELL,50250.20000000,0.00005000,0 BNB,2.51251000 USDC
2024-02-13 01:36:21,BTCUSDC,SELL,50225.70000000,0.00004000,0 BNB,2.00902800 USDC
2024-02-13 01:36:15,BTCUSDC,SELL,50209.20000000,0.00004000,0 BNB,2.00836800 USDC
2024-02-13 00:29:52,BTCUSDC,SELL,50150.00000000,0.00008000,0 BNB,4.01200000 USDC
2024-02-13 00:29:45,BTCUSDC,SELL,50145.50000000,0.00004000,0 BNB,2.00582000 USDC
2024-02-13 00:29:43,BTCUSDC,SELL,50144.40000000,0.00004000,0 BNB,2.00577600 USDC
2024-02-13 00:29:41,BTCUSDC,SELL,50139.50000000,0.00004000,0 BNB,2.00558000 USDC
2024-02-13 00:29:41,BTCUSDC,SELL,50139.50000000,0.00006000,0 BNB,3.00837000 USDC
2024-02-13 00:29:33,BTCUSDC,SELL,50129.90000000,0.00004000,0 BNB,2.00519600 USDC
2024-02-13 00:29:29,BTCUSDC,SELL,50117.70000000,0.00004000,0 BNB,2.00470800 USDC
2024-02-13 00:29:27,BTCUSDC,SELL,50116.80000000,0.00004000,0 BNB,2.00467200 USDC
2024-02-13 00:29:23,BTCUSDC,SELL,50110.70000000,0.00004000,0 BNB,2.00442800 USDC
2024-02-12 22:34:45,BTCUSDC,BUY,49989.51000000,0.00004000,0 BNB,1.99958040 USDC
2024-02-12 22:33:41,BTCUSDC,BUY,49960.86000000,0.00004000,0 BNB,1.99843440 USDC
2024-02-12 22:32:36,BTCUSDC,BUY,49966.86000000,0.00004000,0 BNB,1.99867440 USDC
2024-02-12 22:12:54,BTCUSDC,BUY,49995.48000000,0.00004000,0 BNB,1.99981920 USDC
2024-02-12 21:56:24,BTCUSDC,BUY,49994.38000000,0.00004000,0 BNB,1.99977520 USDC
2024-02-12 21:54:31,BTCUSDC,BUY,49980.00000000,0.00004000,0 BNB,1.99920000 USDC
2024-02-12 21:51:59,BTCUSDC,BUY,49989.49000000,0.00006000,0 BNB,2.99936940 USDC
2024-02-12 21:50:06,BTCUSDC,BUY,50000.00000000,0.00008000,0 BNB,4.00000000 USDC
2024-02-12 21:49:01,BTCUSDC,BUY,49967.84000000,0.00004000,0 BNB,1.99871360 USDC
2024-02-12 21:47:57,BTCUSDC,BUY,50059.06000000,0.00004000,0 BNB,2.00236240 USDC
2024-02-12 21:37:14,BTCUSDC,BUY,50129.03000000,0.00004000,0 BNB,2.00516120 USDC
2024-02-12 21:35:31,BTCUSDC,BUY,50075.47000000,0.00004000,0 BNB,2.00301880 USDC
2024-02-12 21:33:09,BTCUSDC,BUY,50129.08000000,0.00004000,0 BNB,2.00516320 USDC
2024-02-12 21:27:25,BTCUSDC,BUY,50209.24000000,0.00004000,0 BNB,2.00836960 USDC
2024-02-12 21:20:25,BTCUSDC,BUY,50177.00000000,0.00004000,0 BNB,2.00708000 USDC
2024-02-12 21:16:47,BTCUSDC,BUY,50200.00000000,0.00004000,0 BNB,2.00800000 USDC
2024-02-12 21:15:43,BTCUSDC,BUY,50200.00000000,0.00004000,0 BNB,2.00800000 USDC
2024-02-12 21:14:39,BTCUSDC,BUY,50200.00000000,0.00004000,0 BNB,2.00800000 USDC
2024-02-12 21:09:44,BTCUSDC,BUY,50100.00000000,0.00004000,0 BNB,2.00400000 USDC
